posts,angry,fear,happy,neutral,sad,surprise,type
[name]好帅啊，感觉龙卷风和他说以后我跟你的时候他的眼睛真的好亮，呜呜呜好伤 ,0.0,0.08,0.3,0.08,0.7,0.0,ENTP
蛤子和蛤子粉丝仗着一个ucl决赛进球真以为自己是切尔西的爹了，但其实大家都知道最大功臣是谁，蛤子以后也就只是个拿慈善盾冠军友谊赛冠军如果xyz冠军的命了 ,0.26,0.0,0.14,0.17,0.15,0.2,INFJ
可以一顿饭吃的贵，但绝对不可以浪费……买多少一般都会吃掉，关键是我会把想丢掉的食物捡回来下顿吃……[address]已经丢入垃圾袋的煎饼、剩下的米饭和菜、腻死人的枣糕…都早已经被我吃掉……所以[name]买又贵又适量的，绝对不浪费食物，其他人我不管，但我绝对不可以 ,0.37,0.07,0.24,0.29,0.16,0.0,INFP
我特别讨厌我小学同学们，但是我妈最熟悉我小学同学，所以每次我妈和我提起小学同学我都装忘了，不知道 ,0.49,0.06,0.0,0.14,0.3,0.08,ENFP
今天能很安稳地把周五的课都完整上完再回家 很神奇 大一下有过周五下午的课连续四周翘了的记录 现在感觉已经没那勇气了 ,0.0,0.17,0.55,0.06,0.28,0.08,INTJ
前两天去换驾驶证，感觉自己比五年前长得年轻多了[桃裏桃氣] ,0.14,0.0,0.52,0.1,0.26,0.15,INTP
onboarding first day旁边的本科德国小哥挺可爱哈哈哈和我尬聊他车子卡在山里的经历 ,0.09,0.0,0.89,0.0,0.08,0.11,INTJ
路过被骂红米怎么了我刚买了个红米，[num]+[num]才不到[num]香死我了[num]的自助烤肉我都舍不得吃，[num]的自助小火锅都是大餐拼多多的项链[num]块钱的都只敢买一条，都是去抖音买[num]块钱的我甚至还没老公 ,0.76,0.0,0.0,0.0,0.37,0.0,ISTP
本周我完成了连续[num]天铁粉打卡，与@王以纶rileyking 的铁粉值额外增加[num]分！[num] #王以纶# wyl #王以纶大梦归离# ,0.0,0.06,0.4,0.45,0.18,0.0,INTJ
好无聊 想找点事情做想出去玩 想交新朋友 想赚钱妈呀 呆在家里怎么这么无聊 ,0.52,0.0,0.0,0.0,0.54,0.09,ESFJ
一起吸欧气！我抽到了#微博竞燃之夜#的现金福利！戳[num]微博竞燃之夜做任务集喝彩值，还有超多红包好礼等你来抽！ ,0.0,0.0,0.84,0.0,0.0,0.1,INFP
真的好尴尬 开错车门谁懂 那个大叔把驾驶座躺平 就直直的看着我  ,0.36,0.17,0.0,0.07,0.19,0.45,ISFJ
《afterglow》#腾讯音乐由你榜# cxk #蔡[name]新歌afterglow#我相信天赋，但我更相信，影响一个人能不能成功的关键是他做人做事的态度，心态很重要。@蔡[name]🧣：afterglow-蔡[name]  afterglow-蔡[name] ,0.0,0.06,0.53,0.47,0.0,0.0,ISFP
买了副春联，回家就看到崽崽和茶茶抢瓜子。你们不要再打了啦，要打去练舞室打！ ,0.82,0.0,0.13,0.05,0.0,0.0,INFJ
嗯...根据最新维度 还是e cup...哎呦减肥减的个锤子啊 只有胸围小了而已 ,0.14,0.0,0.38,0.07,0.34,0.24,INFJ
just make yourself feel good，do what youreally want to do. ,0.0,0.0,0.85,0.07,0.0,0.0,INTP
晚上亥时的己土，虽然官杀混杂，但合官留杀，不失为用。若是女命，略显不美。 ,0.0,0.0,0.0,0.97,0.14,0.0,INTJ
pdd十几块钱的快乐，其实我妈是个小女人，想要好好呵护她，妈妈开心，我就开心 ,0.0,0.0,1.0,0.0,0.0,0.0,ISFP
#每天记下三件开心的小事# [num].和朋友见面了，两个人又在琢磨怎么逃离现状。明天有个家里那边的朋友来找我玩，开心😊[num].和爸妈打视频了，说了快一个小时，氛围愉快[num].又找到一本好看的小说了。是教师的题材，从细节做工作。 ,0.0,0.0,1.0,0.0,0.0,0.0,ENFP
男的最近给我家添置的东西包括：打扫卫生用的消毒湿巾，kleenex，一箱即热米饭（感觉是种族歧视），一个下水道筛子（因为他负责洗碗）。过两天他要送我一个微波炉防溅罩。 ,0.11,0.0,0.13,0.5,0.08,0.19,INFJ
昨天我和我老公遇到了生活方式上的一个问题，然后他说：“你终于发现了我一个缺点。”嚯 ,0.07,0.0,0.26,0.26,0.33,0.13,ESTJ
汉尼拔和小茶杯那种感情很莫名其妙，可似乎不是不能懂，但是能懂这件事本身就不正常，正常吗？不正常吗？ ,0.24,0.13,0.0,0.14,0.18,0.31,ENFP
#微博之夜#我心中的微博queen非@[name] 莫属谁看了她的作品不迷糊~快来推荐微博king&amp;queen，还有现金红包等你来拿哦～#微博king和queen# ,0.0,0.0,0.69,0.2,0.0,0.13,INTP
#第一次觉得男女主be不可惜的#第[num]集就弃了，一路围观，看看到底什么结局，这结局我不打算看了。但是告诉我一个道理，哪有什么重生，哪有什么再来一次，人生是没有后悔药的。既然改了结局，那男主就没做那些破事，凭什么被骂？有些人太不讲道理了。 ,0.63,0.0,0.11,0.09,0.35,0.0,INTP
之前去运营同事的工位帮忙处理问题的时候，就觉得同事的妆好精致，总感觉该不会是一个博主吧…后来看了一下同事的pyq，果然是，直觉还是挺准的，某书上几万粉丝，真的很厉害，太牛了什么时候咱也能把副业搞得风生水起今天晚上早点睡觉zzz梦里应该比较快~ ,0.09,0.0,0.89,0.0,0.0,0.15,ENFJ
为什么有的人从来不会让我的话掉在地上有的人却总是让我在消息的最后一个诶 ,0.77,0.0,0.0,0.06,0.26,0.18,ENFP
非常喜欢这样一段话：各花当有各花香各山各水各有灵人各有道道不同不相为谋事情都是顺其自然的强求太过于执着给人带来的只有无尽的忧愁都已是第二年立秋 何必执着于那年盛夏你应该去爱这山 这水 这世间万物以及鲜花与你自己而不是拘泥于小小的情爱之间不放过自己 ,0.0,0.0,0.88,0.13,0.08,0.0,INFJ
还没大展身手 门让我爸给拆了 伤心了我真的很想拆门 看了好多拆门教程 谁家有门啊 让我拆一下 ,0.58,0.0,0.0,0.0,0.6,0.0,INFJ
不过算了，他都立本人了，我就让让他吧。毕竟立本人是这样的，精神状态说不稳定就不稳定。 ,0.38,0.0,0.0,0.32,0.27,0.0,INFJ
小红书真他妈傻逼不该禁言的禁言了该禁言的不禁言不该封号的封号了该封号的不封号，一天天正能量的东西不给流量，那种傻逼低脂的视频就疯狂给流量傻逼滚 ,1.0,0.0,0.0,0.0,0.0,0.0,ISFP
#[name] 顶级liveking# #[name] 三代第一全能唱作人# 是谁的鼓声清晰闪亮?原来是我们顺帝的[name]架子鼓敲得好有节奏感哇鼓点清晰动感配合上流畅的动作不愧是三代唯一鼓手@tf家族-[name] ,0.0,0.06,0.71,0.0,0.0,0.22,ISTJ
[name]#[name]陪地震后的小朋友过儿童节#[name]的好从来不是说说的今日[address]站钢琴弹唱环节惊喜《翅膀》+《爱与希望》把大家都拉回从前了太好听啦#[name]jj[num]世界巡回演唱会# ,0.0,0.0,0.86,0.0,0.0,0.1,ENTJ
老师问“peach往往形容什么类型的词”我：“卡戴珊”老师：“nut是形容什么类型的特征呢”我：“娟子”我真是个特别特别有才华的小女孩 ,0.0,0.0,0.69,0.26,0.05,0.09,ESFJ
【#小伙坐城铁接新娘一路分发喜糖#】近日，[address]。一位小伙乘坐杭[address]铁去接亲，一路给乘客分发喜糖。新郎小姚说，两家距离开车要[num]分钟，但坐城铁只要[num]分钟，加之两人第一次约会是坐着城铁出行，于是有了这个想法。网友：#花最少的钱坐最贵的婚车#！（浙江日报） 新华网的微博视频 ,0.0,0.1,0.3,0.57,0.05,0.12,ISTP
[num]年最后一个工作日来吃了意大利[address] [address]·萨莉亚意式餐厅(壹方天地店) ,0.0,0.0,0.23,0.58,0.16,0.14,INFP
这是什么[[name]]小逸[[name]]亲一口😚[[name]][[name]][[name]] ,0.06,0.19,0.0,0.32,0.1,0.28,ENFP
求天降巨款治愈劳资受伤的人生=&gt; ω &lt;=！！！ ,0.0,0.0,0.65,0.0,0.23,0.0,INFJ
啊啊啊啊啊啊啊啊最后一集看的我在宿舍哇哇叫 哇哇哭感人死了 be中有he都是很好的人啊 ,0.0,0.07,0.95,0.0,0.15,0.0,ENFP
纪念一下第一次做华丽的指甲再感谢一下美甲师@forever巨 哈哈哈哈哈哈哈 ,0.11,0.0,1.0,0.0,0.0,0.0,INFJ
妄想症/精神分裂：[num].我是巨无霸，但算不上麦当劳；[num].我叫起来不像鸭子但我就是鸭子。 ,0.13,0.0,0.0,0.47,0.32,0.0,INTP
盛夏这是唱的啥玩意儿啊，真不知道是糟蹋歌还是糟蹋人关键是她们俩还那么投入，那么认真#浪姐# ,0.49,0.0,0.36,0.0,0.06,0.23,ENFP
#普通人跟爱豆无法恋爱的原因#大家原谅一下这只没经验的猫的脑内计划哈哈哈忘吃午饭不是他的错！ ,0.13,0.0,0.73,0.06,0.17,0.11,ENFP
paxton好帅！！！！！！！！never i have ever🤤🤤🤤🤤👅👅👅😭😭😭 ,0.0,0.0,0.89,0.0,0.0,0.08,ISFP
关注我的，我没逼你们关注啊，我的粉籍一直很明确啊，就是唯爱七只小猪，煞笔粉丝和hyh我是包骂的啊，别说个后了，团后煞笔我也骂，所以别再在我pl下问当初怎么会关注我这种话了，小解解我怎么知道你为啥关注我 ,0.92,0.0,0.0,0.1,0.0,0.0,INFJ
[num] todayis_wendy ins更新【✨r to v✨】ㅤ   专栏 · wendy那年今日 ,0.0,0.0,0.44,0.36,0.17,0.15,INFJ
影视剧长月烬明兄弟们，那个乌鸦的声音好像[name]六点半的[name]啊 ,0.11,0.0,0.0,0.24,0.18,0.45,INTP
早 去学校了 就是说除了过年那天这个假期就没这么早起来过😡 ,0.29,0.0,0.0,0.07,0.54,0.18,ISTJ
以前总觉得有长进才算没白过一年，现在觉得开心快乐过好每一天就是巨大的收获。 ,0.0,0.0,1.0,0.0,0.0,0.0,INFJ
想保持正能量，但很难，不如就保持[address]吧这些也挺好。做一个佛系少女🙏 ,0.0,0.0,0.76,0.21,0.09,0.0,ENFJ
双橙 #黄金吱疯# 好像是红糖糍粑和拉丝年糕的生日故事 不确定 ,0.0,0.07,0.32,0.27,0.18,0.37,ENFP
赵奕然奕然 [num]｜[address]返场《凡夫俗子》 “所有的事，    一瓶酒都解决得了”鲅鱼同学的声音是宝藏 [address]·云浦文化·鲸剧场(西部文化产业中心店) 在m[num]号牛油果星球的微博视频 ,0.0,0.09,0.35,0.54,0.0,0.05,INFP
overidea 🐳#公式情人节[num]h# 是从画里走出来的爱人💞 ,0.0,0.0,0.6,0.31,0.11,0.13,ENFP
#春晚段子大考#相声表演完后撒贝宁：赶走那些乱七八糟的想法我以为会说的：赶走那些乱七八糟的人哈哈哈哈哈哈哈哈哈哈哈#春晚# ,0.16,0.0,1.0,0.0,0.0,0.0,INTP
推荐低等游民对《少年派的奇幻漂流》的影评★★★★★《看见》[name]专访[name]——《心中的卧虎》(来自 @豆瓣app) 《看见》[name]专访[name]——《心中的卧虎》 ,0.0,0.06,0.17,0.64,0.05,0.0,INTP
我擦我才知道为什么每次我坐飞机都觉得难受如坐针毡，因为每次坐的都是厦航原来是因为厦航大多都是波音然后波音的座位又比较窄🤔下半年可能还要飞但是可能还是会选厦航，大概福建人对厦航有一种天然的信任（？ ,0.0,0.06,0.17,0.22,0.42,0.18,ENTP
打了一晚上蓝注都没打通关，太难了tat……麻辣烫是自由，是快乐🙏，是攒钱人的轻奢套餐…好好好，每周四晚都不给自己剩多少睡觉时间。 ,0.25,0.0,0.39,0.09,0.37,0.0,INFP
都不仔细看，就骂谭捞女，真是服了，这么好的一个女孩子，结果不仅被前男友姐姐网暴，还要被绯闻扣上阴影。她再也不敢爱人了吧。 ,0.99,0.0,0.0,0.0,0.16,0.05,INFJ
苏新皓舞台魔法师 网页链接lettinggo 我的点评：[苹果][苹果][苹果][苹果][苹果]情感表达超级好 ,0.05,0.0,0.75,0.25,0.0,0.0,ENFJ
#twice空降#韩国人为什么突然不爱听她们的歌了？我感觉歌曲的质量没有变差很多啊。 ,0.18,0.0,0.07,0.14,0.28,0.46,ISFJ
我情绪稳定的这四个月 终于是在刚刚发现我漏看[num]页知识点时破防了 ,0.21,0.07,0.39,0.14,0.3,0.16,INFP
现在的老陈真的和公司时期以及和大船时期的感觉不一样诶公司时期看着是那种魂在飘的睡眠不足肉眼可见的疲惫嗓子也时常哑哑的大船时期是最a的野心勃勃的总裁感拉满现在好像又回到了小陈时期诶甜的时候特别甜炸裂的时候特别炸裂整个人突然就松弛了很多看他开心多了他开心我就开心果然快乐会传染 ,0.0,0.0,0.86,0.0,0.14,0.0,ENFP
屁话老家 为什么找了这么久只找到三张喝酒的照片，下次等一波九宫格 ,0.88,0.0,0.0,0.0,0.14,0.12,ENFP
时空中的绘旅人不是 大哥 我花了几千钻石+两百多rmb你给我一个黑色战车？？？你是真有病是吗？我真的想抽烂你的脸 煞笔游戏 ,1.0,0.0,0.0,0.0,0.0,0.05,ENFJ
今天从进办公室除了午休就没停过。妈呀……过分充实了。然后还被同事吐槽说我wx头像用花花草草非常的老年人 然后换了个丑丑的他们纷纷表示这才是我。什么鬼我在他们心里……到底是什么人啊。 ,0.51,0.0,0.0,0.0,0.13,0.2,ENFJ
其实我还在和老师（好像不能叫老师了毕竟已经辞职了）聊天 已经快成为一种电子宠物了…每天激活一下在澡堂放养…但是因为我最近沉迷[num]cm男所以没怎么搭理他… ,0.07,0.0,0.2,0.24,0.43,0.08,INFP
昨天认识了一位顶级大帅哥（我的审美里面），eth machine learning phd，但是毕业后直接进了业界做管理，最近跳去另外一家公司做全球服务，主要负责东亚。dissertation要开始准备了，然后我有好多事情想要问他啊。心情爆好！ ,0.0,0.0,0.91,0.0,0.0,0.05,ESFP
我正在#恋与制作人夏日清凉互动#参与@恋与制作人 福利抽奖，每日发博、互动、签到可获得抽奖机会！礼品码、周边，我全都要！恋与制作人夏日版本开启！海量福利来袭 ,0.0,0.0,0.62,0.2,0.0,0.14,INFP
复仇这里我要哭了 老温啊！@[name]simon [name][address]月初狐妖小红娘月红篇 ,0.12,0.16,0.22,0.08,0.54,0.0,INFP
infp人格『我是infp 哲学家型——生活在自己的理想世界......』网页链接 ,0.0,0.0,0.36,0.57,0.0,0.08,INFP
拾月鱼的笔记 #ai绘画  #我和ai有画说  #唯美意境  #每日艺术家  #艺术分享  ai原创，... （分享自@小红书）#小红书精选#网页链接 ,0.0,0.0,0.37,0.59,0.0,0.0,INTP
哎 不知道这图文带货真实能不能出单，别人来买的理由是什么呢？像那种领券或者返佣的还对别人有点好处。但是我目前没搞到那种项目啊，只能先打好手中有的牌了 ,0.48,0.0,0.0,0.15,0.23,0.15,ESTJ
不好意思我是那种给别人发消息没有立马收到回复就开始焦虑反思对方是不是不想回我但是收到别人消息的时候又不想回复或者拖着回复的那种人 ,0.64,0.0,0.0,0.07,0.34,0.07,ISFP
宝贝  我好像更懂什么叫会爱是一种宝贵的能力了   宝贝  你真的真的超级厉害  喜欢你真的超级幸福 ,0.0,0.0,1.0,0.0,0.0,0.0,ISFJ
感觉谁要是安慰我一下我的眼泪下一秒就要喷出来了啊啊啊啊啊好难受 千万别理我 让我忍着 ,0.33,0.1,0.0,0.0,0.71,0.0,INFP
一些奇奇怪怪的冷知识①以任何方式自s进医院的治疗费用，医保是不给报销的。②矿泉水的保质期是指瓶子的保质期，而不是水的③qq糖是分为三个级别的，一级偏软，二级偏有弹性，三级偏条性。④如果一群鸡里只有母鸡没有公鸡，就会有几只在生理上自动变成公鸡和其他母鸡交配。#冷知识##学点常识吧你#,0.11,0.11,0.0,0.64,0.0,0.07,ISFJ
我获得了#微博之夜#美好卡，偷偷告诉你每周集卡数top[num]必得盛典门票，期待能亲临现场见到我喜爱的ta！一起参与吧！#[num]纯真真好#集卡邀你来现场 ,0.0,0.0,0.88,0.1,0.0,0.0,INFP
王-[name]-贵是我最喜欢的一个单元 我真的塌房了你演别的都可以啊 为什么要来破坏我心中的[name]复归 ,0.65,0.0,0.15,0.06,0.2,0.0,ENTJ
说给自己的有一个好用的身体不容易所以要珍惜我自己好用的身体然后才是慢慢来 ,0.0,0.06,0.92,0.08,0.1,0.0,ENFP
愚蠢的人类，买bd可以解决[num]%饼图的问题，直接一个咔咔自印，除了少个标和那种没设计的官谷一点区别没有，自印甚至还厚实点，直接裸着别包上嘎嘎爽啊 ,0.97,0.0,0.0,0.05,0.0,0.09,INTP
因为偷懒所以没去看[name]的livehouse是我[num]上半年永远的遗憾，我真的后悔了一年 ,0.0,0.0,0.1,0.0,0.91,0.0,ENFJ
刚刚  迪丽热巴真的太漂亮了！  产生学[address]舞的念头了（以后一定要去[address]） ,0.0,0.0,0.89,0.09,0.0,0.06,INTJ
本来要打卡茵四的 结果打卡不了 还真差点有台风 真是台风眼勒[address]的雨真是说下就下 ,0.75,0.15,0.0,0.0,0.24,0.0,ENFP
will you still love mewhen i'm no longeryoung and beautiful ,0.05,0.0,0.69,0.11,0.23,0.0,ENFJ
有时候买粉底液真的挺无助的，每次都买错色号，每次都买黄了我不是黄皮我是绿色的橄榄皮我要买发绿的粉底液才可以够了。 ,0.47,0.0,0.0,0.0,0.64,0.0,INFJ
我收拾桌子，我哥打开我的游戏玩了两下，我接手之后👇#塞尔达传说王国之泪# ,0.0,0.06,0.29,0.41,0.21,0.07,ESTJ
[name] 【[num].[num] 「当我们谈论爱情」[address]站】全记录你有注意到，灯亮起前，她掩面拭泪吗？💔「你发誓你会活得有笑容你自信时候真的美多了！」——《分手快乐》 [name]梦的微博视频 ,0.0,0.08,0.6,0.24,0.11,0.15,ISFJ
紧赶慢赶终于赶上换乘车了感谢我的童鞋们收留带着废物的我去[address] ,0.0,0.05,0.92,0.0,0.1,0.0,ISTP
#[num]回应年轻人卧铺挂帘子老人没地坐#=_=那要不……火车也推个老幼病残座吧不然人家花钱买个卧铺，就想挂好帘子一觉睡到到站，中途还要被折腾醒给别人让座，简直堵心 ,1.0,0.05,0.0,0.0,0.2,0.0,INTP
终于终于终于来了！好伟大的logo爱丽们都长成了好厉害的大人我也会加油的 ,0.05,0.0,1.0,0.0,0.0,0.0,ENFJ
我感觉我每次大考必掉链子，中考感冒了，特别简单的题给我也做错了，高考被小人害了，我会记得她那张恶臭的脸一辈子，我真的草泥马了老天爷，你就这样对我 ,1.0,0.0,0.0,0.0,0.08,0.0,INFP
[name]泷唱了郭采洁的《你在，不在》，这首歌是他声音质量到现在几场最好最接近之前那些综艺修音后呈现效果的一场，真的要感谢他给全国同性恋贡献出了这首歌的男版伴奏，品味很好，他在歌手这季的选曲一直都在选不是很热门的作品，他比很多人都胆子大。 ,0.0,0.08,0.9,0.12,0.0,0.0,ENTP
啊啊啊啊啊啊近几年变得对坐车异常敏感我测 除了坐我爹的谁开车都要晕车就连日常出行打个出租十几二十分钟都不行我哭死 ,0.26,0.18,0.0,0.0,0.76,0.0,INFP
脚肿了，没上班，在家躺着，想吃 [num].[num] 食，你能不能看到？ ,0.23,0.0,0.0,0.11,0.45,0.28,ENFJ
齐思礼是我真的会很害怕的那种老师 我受不了了 服装设计专业真的很能代到 和[num]对话我怕到发抖根本就是 ,0.13,0.69,0.0,0.0,0.08,0.0,ESTP
时代少年团周边中转站 有没有出[num]这次的拍立得 我只要拍立得 价格好商量 ,0.19,0.0,0.23,0.3,0.12,0.21,ENFJ
[num].[num]h硬座回京。三人座中间位。下次不坐了，发烧烧得我站不稳了。北京站堪比春运我不开玩笑。 ,0.46,0.06,0.09,0.12,0.33,0.0,ENFP
澜久#家巧幸福分享# 家巧们，来给光光点点赞👍👍（十五字十五字十五字十五字十五字十五字十五字十五字十五字）网页链接 ,0.0,0.08,0.76,0.19,0.0,0.07,ISTJ
我早上做梦做到马上就要握到偶像的手了，我爸疯狂问我东西在哪儿梦没了 ,0.1,0.1,0.09,0.0,0.28,0.3,INTP
高级写字楼就是这个逼样子，没到下班的时候路上全是正装老公，光走到地铁站我都感觉自己有了[num]，[num]任前夫 ,0.41,0.0,0.22,0.09,0.11,0.26,ISFJ
开着深色模式看电视剧心想怎么那么暗呀📺打开聊天怎么全黑了  太久没晒太阳了维生素d缺乏 脑子也不灵醒了 ,0.21,0.0,0.0,0.0,0.69,0.19,INTP
[name] 🐚#[name]高露洁品牌代言人#🐬#[name] 声震寰宇问鼎天下# 神魂颠倒💫迷恋着你都神魂颠倒#腾讯音乐由你榜#失恋循环-[name]失恋循环@时代少年团-[name]  收聲放映·[name]的微博视频 【[name]颜值主唱】【[name]人气top】 ,0.0,0.15,0.24,0.49,0.17,0.13,ESFJ
我恨死[address]的机场了 转盘二十多分钟了没把我行李吐出来🤗🤗现在又不吐了 ,0.89,0.0,0.0,0.0,0.24,0.0,ISTP
开始快乐时光下周和姐姐去[address][address][address]回来和程佳洁去看邓紫棋 ,0.0,0.0,0.94,0.14,0.12,0.06,ESFP
很想出李花子cos但是李花子cos服[num]多我热勒我现在很久没买过超一百块的衣服了 ,0.23,0.0,0.12,0.08,0.56,0.16,ENFP
#开心十年之约##开心消消乐#快来看看你能完成几轮飞花令吧！参与全新飞花令玩法领好礼！ ,0.08,0.0,0.52,0.38,0.0,0.14,INTJ
林更新是什么呢就是回不去的老十四我那白月光之一嗯，白月光太多，都理不清 ,0.24,0.0,0.0,0.12,0.45,0.2,INTJ
每天都能整坏各种设备不是打印机就是扫描机我可能是一个破坏大王 ,0.92,0.06,0.0,0.0,0.0,0.06,ESTJ
上午吃了吉士蛋麦满分嘴巴张不开少吃了一片面包下午吃了不辣的豆腐脑我都不知道我怎么受得了这委屈晚上吃了半只苦咖啡雪糕拔智齿可能可以让我掉下[num]kg ,0.31,0.0,0.0,0.0,0.67,0.0,INFP
[name]的粮都吃完了吃完了吃完了，没有新粮吃的我痛苦不堪，但是又写不出半点东西，抓耳挠腮更加痛苦不堪 ,0.33,0.0,0.0,0.0,0.73,0.0,ENFP
国考银保监 我一般不确定的会画圈圈，考完一看，好多圈圈… 今年都不知道能不能上[num]啊 太惨了太惨了 ,0.23,0.22,0.0,0.0,0.54,0.1,INFP
这会儿下班连个车也打不到突然有点心酸，昨天闲的，今天又这服了，忍不住生气，生自己的气 ,0.91,0.0,0.0,0.0,0.3,0.0,ISFJ
#微博纪念背景墙# 我正在使用#檀健次# 粉丝认证号专属卡片背景，粉籍认证，你值得拥有！快来试试吧！粉丝认证号：檀健次 ,0.0,0.0,0.49,0.45,0.0,0.0,ENFP
拿到d照昨天下午被我爸“训练”骑小摩托一小时后今天终于同意我骑大摩托由于它太重我实在是推不动现在我想要骑它出行时我爸必须骑小摩托跟着我保证我可以正常起步和停车懂了我家的子母车新定义：大摩托➕小摩托 ,0.0,0.0,0.52,0.24,0.17,0.14,INTP
前几天quick trip to waterloo庆祝emma男朋友（graham）的生日 ,0.0,0.0,0.44,0.36,0.09,0.22,INFP
如此纯粹，如此纯粹，连一点点杂念一点点动过歹念想要设计的杂质都加不进来。祝福我的朋友，也祝福自己。 ,0.0,0.0,0.96,0.0,0.0,0.0,ENFJ
多运动+尽可能不吃额外的糖分（三餐米饭除外）+早睡（少熬夜）真的会让皮肤变好诶实践出真知 ,0.0,0.0,0.79,0.15,0.07,0.06,ENFP
#看了[num]次落日的红包#哇！好运来袭！我抽中了@看了[num]次落日 的现金红包，你也快来试试手气吧，比比谁抢得多！看了[num]次落日 的红包 ,0.0,0.0,0.87,0.0,0.0,0.06,ESFP
#[name]#有没有人知道，红衣女子是怎么回事呢？插刀队友，被列为执行人的是谁？ ,0.0,0.09,0.0,0.42,0.0,0.47,ESTJ
没想到 成年人崩溃时都得边工作边崩溃 然而 本来是不需要你干的活 硬塞过来一堆不合理的 现在的不顺心 都是一年半前选岗犯的错 后悔了 ,0.6,0.0,0.0,0.0,0.49,0.0,ENFP
给didi提出一个真诚意见，想要虐粉的话，先去把正颌手术做了吧……以后didi就可以虐粉了diss be like：啊～我们giegie为了我们做了正颌手术！好感动～好感动～虐到了虐到了～我甚至没有发我们didi的美照是因为我实在受不了大小眼儿和歪嘴，真踏马想给他掰正…… ,0.21,0.0,0.73,0.0,0.18,0.0,INTP
前夫哥 你让我脱粉了都觉得好丢脸 已经有好几个同学来和我说：哎呀我看到xxx的事情第一时间就想到你很喜欢他 ,0.34,0.0,0.2,0.0,0.5,0.06,ISFP
#宁艺卓全球首戴#宁艺卓时尚icon袭来💎[num]年[name]专门为第[num]届戛纳红毯设计的[num]件高级珠宝之一【全球首戴】‼️versace超季成衣⭕️【全球首穿】还有谁不知道？👑真正的时尚女王！[num]岁的queen💥 ,0.0,0.0,0.42,0.27,0.0,0.3,ENFP
"杨博文ybw🐑#杨博文 携梦扬帆博众闻# 🐑#杨博文 四代第一主舞# ᴹᴱᵀᴱᴼᴿ ᴬᶜᴿᴼˢˢ ᵀᴴᴱ ˢᴷᵞ, ᴵ ᵂᴵˢᴴ ᵞᴼᵁ ᴾᴱᴬᶜᴱ ᴬᴺᴰ ᴶᴼᵞ.  流星滑过苍穹，我许下愿你[address]喜乐的愿望@tf家族-杨博文ybw ",0.0,0.0,0.8,0.2,0.0,0.0,INFP
虽是碧云天，已见[name]地。这就是[name]的魅力。景还是那个景，人已不是那个人。 ,0.06,0.0,0.36,0.3,0.44,0.0,INFJ
我中午明明吃的也不多啊，怎么睡一觉就这么撑啊🙉🙉🙉撑到在工位上啥都不想干🙃 ,0.52,0.0,0.0,0.0,0.59,0.0,ENFP
真的不想面pwc tax好折磨 主要我没怎么准备[num]min全英文面面什么东西啊……但是想给大三的自己一个交代.. ,0.53,0.0,0.0,0.0,0.52,0.0,ISFJ
